word\initial,k,K,g,G,c,C,j,J,w,W,q,Q,t,T,d,D,p,P,b,B,N,Y,R,n,m,y,r,l,v,S,z,s,h,a,A,A,i,i,u,U,f,e,E,o,O
r,H,H,r,r,H,H,r,r,H,H,r,r,H,H,r,r,H,H,r,r,r,r,r,r,r,H,H,H,H,H,H,H,H,r,r,r,r,r,r,r,r,r,r,r,r
